filename,specID,taxon,family,group,habitat,habitat1,habitat2,diet,feeding,feeding1,feeding2,bodysize,divetype,hearingtype,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
Neophocoena_phocaenoides_NHMUK_CE1903.9.12.3_2.pts,NHMUK_CE1903.9.12.3,Neophocaena_phocaenoides,Phocoenidae,Other,nearshore,nearshore,nearshore,generalist,suction,suction,suction,55,shallow,NBHF,-0.010748235939667271,0.07225411422851219,0.03051865726136236,0.07268971964905258,0.03328567416332039,-0.02403574572756874,0.04795442512772052,0.045796537042579785,0.006437566581027016,-0.03000009278673218,0.009136860325495428,-0.007143205975966341,0.0024535344834732474,-0.0032585537047763913,0.008991212866320208,-0.01881117641135777,8.196791305217512e-4,-0.006803537610288545,-0.007493479400196943,4.7432839937427924e-4,-0.0036066412329751486,-0.005254309031043421
Phocoena-dioptrica_NHMUK_CE1939.9.30.1_2.pts,NHMUKCE1939.9.30.1,Phocoena_dioptrica,Phocoenidae,Other,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,115,mid,NBHF,-0.040779430169041855,0.024622008274847708,0.02412941862968644,-0.06651066244885216,0.059040503971201246,-0.019116975661242607,-0.011435925233558386,0.02342376763854889,0.0035894656831939077,0.016375344465786902,0.01368680026421163,0.008578333076766139,0.03436797785278288,-0.019199542230711207,-0.008566204959169437,-8.011932940885774e-4,-0.008332882046172293,0.018370692413471397,-0.0048699493763251726,0.008976378788256082,-0.0019991196551050958,0.003817738479200767
Phocoena-phocoena_NHMSW1954.15_2_reflected.pts,NHMUK_SW1954.15,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.022573394321638386,-0.07043671391734721,-0.0165252968647407,0.035244936502175424,0.001596077146456209,-0.00954792122060584,0.022780514491347697,-0.019686518959468453,-0.027066635353891665,-0.011367712412379275,0.004138494957756824,0.038477343856417275,0.013192515409169842,0.008045928966675654,-0.0019122095947681815,0.006046171019066491,0.016042785835682503,0.01641584444530619,-0.007563629007546353,-0.017414694943567833,-0.002947656078088477,0.005829369388894889
Phocoena-phocoena_NHMUK_1846.12.15.6_2_reflected.pts,365B,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.006683732465333161,-0.031729276087995,0.005381362884591398,-0.016323342193523178,0.013997560095944972,-0.0198364172393044,-0.017184372663759336,0.0033560007759235637,0.016272144859139987,-0.010047716267473734,-0.014319081002835783,0.02417151534043155,-0.01874523250625815,-0.012828768626596447,0.018697298261880973,0.02936567219313941,-0.007235880299042457,-0.006724270596767536,-0.015594801731032717,0.0025100653063665577,0.002972860422480621,-0.015332574323790267
Phocoena-phocoena_NHMUK_1873.6.3.45_2_reflected.pts,365I,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.09704777684670929,-0.09719347270968975,-0.06297555127415551,0.011926511350168,-0.033806938000449094,-0.04408989320602038,0.017876514276538902,0.0482392379823626,0.011558741533622284,0.024359545656934937,-0.022746024611548864,-0.005853252595024161,-0.002713518386203675,5.702262702215892e-4,-0.013330470411161071,0.002807598433203041,-0.0015169430045851708,0.009623982441134922,0.014236512393889887,-0.0017181872536445415,0.005013039173431251,-0.0032000000575293755
Phocoena-phocoena_NHMUK1925.4.29.1_2_reflected.pts,NHMUK_1925.4.29,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.02204439224157976,-0.04008981133817646,-0.020412939914074845,0.017495935553922398,0.014893603076736076,0.036662385033093575,-0.015820670868898483,0.010739229798902057,-0.016643388688176042,-0.01662094303759279,-0.03704205468581333,0.007412505967972006,-5.9898747960882596e-5,-0.024054348268955864,0.0029786297200876176,-0.0023824988486904996,0.009007130168500672,-0.013344807642705079,0.0055343698052268365,0.014983300666861545,-0.007308145917883527,0.015396461272540605
Phocoena-phocoena_NHMUK1933.15_2_reflected.pts,NHMUK_1933.15,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.02498889540069825,-0.0384828425558275,-0.06216465173203664,0.0068229375649050735,-0.013292995642934442,0.04262992159578906,-0.012124462009831428,0.016847781003326782,0.005028235992419153,0.019686651812090335,-0.008082678314975434,-0.017869704366030366,0.021884459635163656,0.030489514252023793,0.028188649981400856,9.719530875513597e-4,-0.006990588204737412,-1.2136519020479053e-4,-0.01573193406734279,-8.954725653936783e-4,-0.007206666265657817,0.0015448600931457594
Phocoena-phocoena_NHMUK1933.17_2.pts,NHMUK_1933.17,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.02802577932393502,0.00764469330969414,0.004690203590048893,-0.0584952020650328,4.3887984828573754e-4,0.02712377344350372,0.019999762584669383,0.028101799644693642,0.022745612489217817,-0.023322724334518475,0.01805282895509056,-2.3412625179648343e-4,-0.02728246744903194,0.021675297832659337,-0.00797077128287689,0.014252106453810441,0.009584904873311787,0.005401051829907975,-0.0014073271218678948,0.004184401956460554,0.007184713958712888,0.014498274653297881
Phocoena-phocoena_NHMUK1934.45_2_reflected.pts,NHMUK_1934.45,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.07799418990697936,0.04970560271783358,0.017062909005611693,0.019782982829406087,-0.0615682477955993,-0.018633829382456574,0.01606892309481477,-0.019597579874724165,-0.020306343247832367,0.025596099817967368,-0.0045664380655344615,0.005959806057682189,-0.02415617822968898,-0.0031760012328115985,0.007457843731615129,-0.014748972231276584,-0.005695384204600542,0.017248672599368423,-0.010689738188573727,0.018568258923658515,0.003920213937477899,0.0036167503517798914
Phocoena-phocoena_NHMUK1934.51_2_reflected.pts,NHMUK_1934.51,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.05961494802262094,0.005378187298365245,-0.002435511988657527,-0.026022105607441243,-0.030995770118217567,-0.0648783412502705,-0.008494693201869458,-0.02164253785361556,-0.0035204822877114234,-0.024238966330490358,0.005782769706717202,-0.0038418190976571014,0.020861169653018586,0.017576632532526983,0.018130591846777237,0.006444978937583875,0.01257004039850683,-0.007703981405754758,0.017768851993088235,0.013083296218973807,-0.0018311492581960195,-0.002132826658003407
Phocoena-phocoena_NHMUK1965.3.30.1_2_reflected.pts,NHMUK_1965.3.30.1,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,9.096943469854969e-4,-0.030143016163582274,0.00596426967588173,-0.03568753548027132,0.01645258078731978,0.017177705070774336,-0.012965697367382652,0.0064437613032705355,0.008333786459122935,0.025592548176683234,0.011077972474401024,0.035456901805205186,-0.009822347398884388,0.013478777868648938,-1.0078575713154961e-4,-0.033738708884746255,0.00840588081363031,-0.01875523816641284,0.006727700005672012,-2.891335805232586e-4,-4.230758710331427e-4,-0.007713440140335679
Phocoena-phocoena_NHMUK1992.263_3_reflected.pts,NHMUK_1992.263,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.03161147380769825,-0.011488201614951257,0.008754737446901126,-0.025045922377292994,0.003437348620836141,0.008461710657693319,-0.03237544187280646,-0.0077293771016312286,0.011872508021037202,-0.012535604947079806,-0.008590675138637382,-0.025883289454193478,-0.01674711624646035,-0.012571095910649074,0.0044064894826108016,-0.014335583569919912,0.023198411024239758,0.023243523982557142,0.001037499049554239,-0.010654963340835051,-0.011565793406035444,-0.009073820010469781
Phocoena-phocoena_NHMUK92.265_2_reflected.pts,NHMUK_92.965,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.0047526130055027364,-0.06562169122765878,-0.021069703443914553,-0.02309920849392328,0.005452533021023045,-0.014765788227230948,0.010762214945855164,-0.008133401000836824,-0.018052938873959822,-0.002351436336238548,0.027283844963383916,-0.007365091023664316,-0.020513141538965326,-0.010893624369952936,0.012941154464347139,-9.28983675038711e-5,-0.029795663608709413,-0.005108351171691215,0.010109824789172526,-0.010769372659729435,-0.015570269929708799,0.006832357052959236
Phocoena-phocoena_NHMUKSW1926.29_2.pts,NHMUK_SW1926.29,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.010413690947700768,-0.012037891551456101,-0.034642156208315164,0.04641831211962254,0.020987536315858327,0.03980262352709825,0.010167383563827074,-0.0033198495458031316,-0.02140122804845126,0.023684510020881316,0.03556077118174877,-0.011840256905286678,-0.002540599563450731,-0.007004302134253482,-0.01126589812715393,0.02270136684965602,0.015180187907874055,-0.0029604594771551643,0.005910324744884496,0.012374785603018508,-0.0027735711926624358,-0.01128257449520389
Phocoena-phocoena_NHMUKSW1934.14_2_reflected.pts,NHMUK_SW1934.14,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.025799126501463376,-0.010607388189000123,-0.031857549313186635,0.022955960348960778,-0.043436563864632405,-0.001789312183276377,-0.011505333963727991,-0.012380554214166091,0.03249237557293333,0.008877657471793915,0.023349794942821772,-0.006615176273948946,0.011158448279201498,-0.03025581558856514,0.010937701281539102,-0.0038000532781617183,0.00803785203194154,-0.011376206711026427,-0.003644149907740599,-0.011093371945961826,0.01690852071666241,0.009115606863250088
Phocoena-phocoena_NHMUKSW1934.31_2_reflected.pts,NHMUK_SW1934.31,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.015298489831796281,-0.06915873928428429,-0.03196119135444288,-0.04595609634254576,-0.02768843570813975,-0.008574568021856764,0.016758923675363923,-0.023837279467970166,-0.009640566259351212,-0.019954615682014388,-0.003661680427996122,-0.01750269376186372,0.008050382364845479,-2.951528258152105e-4,-0.0360964819092914,-0.009838861386492953,-0.003756592426585863,-0.01535849227852239,-0.01988130517565801,0.0029424010967670088,-8.94488315652812e-4,-0.005465354691858072
Phocoena-phocoena_NHMUKSW1934.32_2_reflected.pts,NHMUK_SW1934.32,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.011959962306577155,-0.014626056852790961,-0.02886345644102538,3.759795729201366e-4,0.021813313798241717,0.04762343630063967,-0.001350647721027,-0.010931128982361942,-0.01871160141888214,-0.030006656601700352,-0.005762672774970278,-0.001161822355077608,0.00625124433166452,0.0018724343647461958,0.00566451939011185,-0.010203306190271415,-0.01883171892359611,0.012905461602036249,0.01243176039789871,-1.06239777547552e-4,0.022487510118639448,-0.008771883806353823
Phocoena-phocoena_NHMUKSW1937.24_2_reflected.pts,NHMUK_SW1937.24,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.14114673737706368,0.13060877465911325,0.014492398547126263,0.0038318363165411717,-0.057822520952674684,0.01137513733513826,-0.03021871659363889,0.03251494769934873,-0.02155358452941611,-0.0012118518031312665,-0.008667580252215893,0.008348625948625461,0.003547653378807849,4.55962840886195e-4,-0.01895462368392516,0.01063503868007864,-0.00649455075108075,-0.007544363511559773,0.004773493380213494,-0.015018201395114464,-0.0032011772259445195,-0.0024305476456322438
Phocoena-phocoena_NMB10131.pts,NMB10131,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.029086083456138476,0.04747708193117796,0.0038154248111515097,0.028328737153981563,-0.004499886710651762,0.028084910247796784,0.03317514802547483,-0.041664192070355176,0.056211031259078524,0.0018725412648403724,-0.014586803951554733,0.011226223856449172,0.008223756208732856,0.0016083643200550618,-0.012712170494485281,0.0048414290067072705,-0.012010896012711707,0.0045161055330965065,0.009772284162764577,0.0019717162621089987,-0.011447424194512813,-0.0012131785903383785
Phocoena-phocoena_NMVC27654_2_reflected.pts,NMVC27654,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.05491256030175076,0.046126565114187584,0.03815859979854568,-0.02998140595702951,0.06695623376572474,-0.015415987741677293,0.038921776269500316,-0.021927563387037198,-0.015240905103761665,0.030387735979560036,-0.029369879917821945,-0.01894377687976039,-0.004679113613831285,0.0034764948879151374,0.005591163828908508,0.007092167274302285,0.007723821520772938,-0.01135774179960449,0.0018581577160328845,-0.012153315173351052,0.008380260321389032,0.0032116941748960614
Phocoena-sinus.pts,900519,Phocoena_sinus,Phocoenidae,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBHF,0.009726044096384237,0.004057672080861488,-0.00908291575682619,0.07298659737619295,0.06019806869958702,-0.03954531168822619,-0.06450172453640168,-0.015819520802110073,0.008157784635626573,4.5364288771908637e-4,0.0029226226815822725,-0.006676521354240999,-0.011743673920764572,0.019109536666682476,-0.01827537046140309,-0.0015272099858626284,-0.0077508253256605535,-1.3346035536673516e-4,-0.0033047384644559804,0.0013186203373093761,0.003516328453325537,0.007247520226511258
Phocoena-spinipinnis_IRSNB_21219_2.pts,IRSNB_21219,Phocoena_spinipinnis,Phocoenidae,Other,nearshore,nearshore,nearshore,generalist,suction,suction,suction,105,shallow,NBHF,0.26519247294095427,0.18140031486275554,-0.03534113138691136,-0.026414686468843283,-0.012681460107332012,0.0027552143841913443,-0.006764630062268712,-0.010834272812045031,-0.00808304855171902,8.110222114218364e-4,0.0035499059224363785,-5.150871656609633e-6,7.528894260852739e-4,7.988495049271703e-4,0.004956470492419556,8.270689885232198e-4,0.0013766524666952579,4.600885346378509e-4,-0.0013903685517462781,-0.001191996753266288,-0.0011181230824035793,4.5935811713696705e-4
Phocoenoides-dalli_NHMUK_CE1965.1.19.2_2.pts,NHMUK_CE1965.1.19.2,Phocoenoides_dalli,Phocoenidae,Other,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,200,deep,NBHF,0.10285250336445138,-0.0776599129845886,0.2043640740273805,0.014675721096906656,-0.03275709440990448,0.018533273954018183,-0.009723269959942112,0.002040713183168433,-0.0024785307232660534,0.003961020773671724,0.0028529027682584513,-0.008695368743381738,0.00825925657855455,0.004379184585118844,2.4326133334700512e-4,0.004294911524750183,-0.003535421364195162,-8.931474644569219e-4,0.001410642554088451,-8.260417022031241e-5,0.001509854523740615,3.005187769450521e-4
